"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
246,"Buckeye Canal At Jackrabbit","2001-09-11 00:00:00","B",254.00000,20,,4,0,70,30,-2,0,,0,1,7.92000,1,17,0,4,4,220,60,12.45620,0.26900,6.32500,1210,1.21000,,345.00000,154,735.00000,147,172,534,16,78,66,1,4,0,7,26,50,,,,,,,,,
247,"Buckeye Canal At Jackrabbit","2001-09-11 00:00:00","C",254.00000,20,16,4,0,70,30,-2,0,,0,1,8.03000,1,18,0,17,3,45,13,12.31652,0.26700,6.28000,1215,1.21500,,338.00000,150,732.00000,147,173,524,16,76,67,1,4,0,7,26,51,,,,,,,,,20
248,"Buckeye Canal At Baseline","2001-09-11 00:00:00","A",254.00000,20,,4,0,60,40,-2,0,,0,1,10.37000,2,17,0,11,2,88,37,22.10381,0.10200,8.49500,889,0.88900,,480.00000,214,802.00000,161,178,612,14,66,76,1,5,0,9,42,64,,,,,,,,,
249,"Buckeye Canal At Baseline","2001-09-11 00:00:00","B",254.00000,20,,4,0,60,40,-2,0,,0,1,10.35000,2,17,,,2,,,22.59562,0.10000,8.54000,874,0.87400,,474.00000,211,804.00000,161,199,616,14,68,78,1,5,0,9,41,63,,,,,,,,,
250,"Buckeye Canal At Baseline","2001-09-11 00:00:00","C",254.00000,20,5,4,0,60,40,-2,0,,0,1,10.41000,2,17,0,12,2,78,33,21.86556,0.10300,8.49700,899,0.89900,,463.00000,206,812.00000,163,226,611,13,64,77,1,5,0,9,43,67,,,,,,,,,30
251,"Gila At Hywy85","2001-09-11 00:00:00","A",254.00000,20,,4,,75,25,-2,0,,0,1,4.85000,1,20,0,11,5,127,23,12.42996,0.10100,3.80900,719,0.71900,,490.00000,218,1016.00000,204,,,,0,,,,,,,,,,,,,,,,
252,"Gila At Hywy85","2001-09-11 00:00:00","B",254.00000,20,,5,,77,23,-1,0,,0,1,5.37000,1,28,0,7,4,217,60,12.47833,0.09900,3.78800,712,0.71200,,479.00000,213,1013.00000,203,,,,0,,,,,,,,,,,,,,,,
253,"Gila At Hywy85","2001-09-11 00:00:00","C",254.00000,20,,4,,73,27,-2,0,,0,1,4.58000,1,15,0,10,7,138,19,12.26233,0.08700,3.78100,721,0.72100,,515.00000,229,1024.00000,205,,,,0,,,,,,,,,,,,,,,,45
254,"Hassayampa","2001-09-11 00:00:00","A",254.00000,20,,4,0,73,27,-2,0,,0,,9.77000,2,18,,,3,,,20.35130,0.10100,7.85000,893,0.89300,,432.00000,192,744.00000,149,180,556,13,64,71,1,5,0,9,39,61,,,,,,,,,
255,"Hassayampa","2001-09-11 00:00:00","B",254.00000,20,,4,0,72,28,-2,0,,0,1,9.85000,2,19,0,16,3,67,25,20.31606,0.10800,7.92700,904,0.90400,,439.00000,195,744.00000,149,201,559,13,64,72,1,5,0,9,40,61,,,,,,,,,
256,"Hassayampa","2001-09-11 00:00:00","C",254.00000,20,1,4,0,72,28,-2,0,,0,1,10.37000,2,23,0,13,2,81,39,20.37178,0.11500,7.84400,893,0.89300,,430.00000,191,740.00000,148,173,541,14,68,70,1,5,0,8,37,58,,,,,,,,,48
257,"Gila At Arlington","2001-09-11 00:00:00","A",254.00000,20,,4,0,65,35,-2,0,,0,1,10.18000,2,18,0,1,2,1042,420,14.94090,0.03800,8.25700,1269,1.26900,,667.00000,297,1022.00000,205,250,827,15,70,94,1,5,0,10,56,77,,,,,,,,,
258,"Gila At Arlington","2001-09-11 00:00:00","B",254.00000,20,,4,0,65,35,-2,0,,0,1,10.01000,2,17,,,3,,,14.93131,0.06200,8.29300,1279,1.27900,,679.00000,302,1036.00000,208,262,811,14,65,95,1,5,0,11,61,84,,,,,,,,,
259,"Gila At Arlington","2001-09-11 00:00:00","C",254.00000,20,3,4,0,67,33,-2,0,,0,1,10.01000,2,17,0,14,3,52,,14.96509,0.05600,8.33100,1281,1.28100,,681.00000,303,1019.00000,204,255,829,14,67,97,1,5,0,11,59,80,,,,,,,,,59
260,"Gila At Gillespie","2001-09-11 00:00:00","A",254.00000,20,,4,0,63,37,-2,0,,0,1,9.57000,1,13,0,6,4,200,56,23.40964,0.06900,8.27800,815,0.81500,,704.00000,313,1046.00000,210,274,827,14,69,97,1,6,0,11,59,80,,,,,,,,,
261,"Gila At Gillespie","2001-09-11 00:00:00","B",254.00000,20,,4,0,62,38,-2,0,,0,1,10.05000,2,17,0,9,3,124,49,23.98273,0.06000,8.27100,794,0.79400,,722.00000,321,1067.00000,214,277,832,14,66,95,1,6,0,11,64,85,,,,,,,,,
